country,year,ddd
Spain,2019,83.6
Spain,2020,86.9
Spain,2021,92.7
Spain,2022,98.8
Spain,2023,102.2
Italy,2011,38.3
Italy,2012,38.6
Italy,2013,39.0
Italy,2014,39.2
Italy,2015,39.6
Italy,2016,39.8
Italy,2017,40.4
Italy,2018,41.6
Italy,2019,42.8
Italy,2020,43.7
Italy,2021,44.6
Italy,2022,45.8
Italy,2023,47.1
Sweden,2000,44.8
Sweden,2001,50.9
Sweden,2002,53.7
Sweden,2003,62.2
Sweden,2004,64.3
Sweden,2005,66.1
Sweden,2006,69.7
Sweden,2007,72.1
Sweden,2008,73.7
Sweden,2009,74.1
Sweden,2010,75.8
Sweden,2011,79.4
Sweden,2012,81.1
Sweden,2013,84.3
Sweden,2014,87.8
Sweden,2015,92.5
Sweden,2016,95.0
Sweden,2017,96.9
Sweden,2018,98.8
Sweden,2019,102.7
Sweden,2020,105.5
Sweden,2021,108.9
Sweden,2022,114.5
Sweden,2023,117.8
Sweden,2024,121.8
Norway,2000,40.9
Norway,2001,44.9
Norway,2002,48.8
Norway,2003,52.6
Norway,2004,52.3
Norway,2005,51.9
Norway,2006,52.8
Norway,2007,54.9
Norway,2008,55.0
Norway,2009,55.6
Norway,2010,56.5
Norway,2011,57.7
Norway,2012,57.5
Norway,2013,56.9
Norway,2014,57.1
Norway,2015,58.0
Norway,2016,57.6
Norway,2017,57.3
Norway,2018,56.2
Norway,2019,57.9
Norway,2020,58.7
Norway,2021,61.1
Norway,2022,63.1
Norway,2023,63.5
Norway,2024,65.3
Denmark,2000,35.2
Denmark,2001,42.0
Denmark,2002,46.9
Denmark,2003,52.7
Denmark,2004,55.4
Denmark,2005,60.1
Denmark,2006,64.9
Denmark,2007,70.0
Denmark,2008,73.6
Denmark,2009,78.3
Denmark,2010,84.0
Denmark,2011,85.2
Denmark,2012,83.2
Denmark,2013,80.0
Denmark,2014,76.6
Denmark,2015,77.0
Denmark,2016,76.4
Denmark,2017,75.7
Denmark,2018,76.6
Denmark,2019,78.3
Denmark,2020,80.7
Denmark,2021,84.6
Denmark,2022,88.3
Denmark,2023,92.2
Denmark,2024,96.2
Czechia,2000,9.7
Czechia,2001,12.0
Czechia,2002,14.1
Czechia,2003,16.9
Czechia,2004,20.2
Czechia,2005,26.7
Czechia,2006,29.0
Czechia,2007,35.0
Czechia,2008,35.9
Czechia,2009,38.3
Czechia,2010,41.6
Czechia,2011,44.1
Czechia,2012,46.2
Czechia,2013,49.0
Czechia,2014,52.7
Czechia,2015,55.0
Czechia,2016,57.1
Czechia,2017,59.9
Czechia,2018,61.4
Czechia,2019,64.4
Czechia,2020,65.7
Czechia,2021,69.4
Czechia,2022,73.3
Czechia,2023,75.3
Germany,2000,20.7
Germany,2001,22.6
Germany,2002,24.3
Germany,2003,26.4
Germany,2005,28.4
Germany,2006,30.1
Germany,2007,34.3
Germany,2008,38.2
Germany,2009,41.8
Germany,2010,46.7
Germany,2011,50.0
Germany,2012,51.9
Germany,2013,53.1
Germany,2014,55.1
Germany,2015,56.4
Germany,2016,56.5
Germany,2017,56.9
Germany,2019,60.3
Germany,2020,62.2
Germany,2021,64.0
Germany,2022,65.7
Germany,2023,66.7
Spain,2000,28.2
Spain,2001,31.7
Spain,2002,36.1
Spain,2003,40.6
Spain,2004,44.1
Spain,2005,45.0
Spain,2006,49.2
Spain,2007,52.1
Spain,2008,55.0
Spain,2009,57.7
Spain,2010,61.2
Spain,2011,63.9
Spain,2012,64.0
Spain,2013,65.2
Spain,2015,73.1
Spain,2016,75.5
Spain,2017,77.2
Poland,2019,24.2
Poland,2020,27.3
Poland,2021,30.6
Poland,2022,35.2
Poland,2023,39.2
Poland,2024,44.2
Spain,2018,80.4
Italy,2024,48.5
Spain,2024,106.1
Germany,2004,25.5
Germany,2018,58.5
Spain,2014,71.3
